Date,Heading,Link
2017-04-01 04:14:00,Commission clears Modi,http://timesofindia.indiatimes.com//city/ahmedabad/commission-clears-modi/articleshow/57950312.cms
2017-04-01 09:40:00,Prime Minister Narendra Modi assures support to make Goa model state,http://timesofindia.indiatimes.com//city/goa/pm-assures-support-to-make-goa-model-state/articleshow/57950782.cms
2017-04-01 08:11:00,New developments in BJP hints at Sushil Kumar Modi’s fall in party?,http://timesofindia.indiatimes.com//city/patna/new-developments-in-bjp-hints-at-sumos-fall-in-party/articleshow/57949617.cms
2017-04-01 01:33:00,"PM Modi on Navratra fast, but has his hands full",http://timesofindia.indiatimes.com//india/pm-modi-on-navratra-fast-but-has-his-hands-full/articleshow/57951585.cms
2017-04-02 08:17:00,"Modi was right, Mulayam Singh says as he tears into son",http://timesofindia.indiatimes.com//india/modi-was-right-mulayam-singh-says-as-he-tears-into-son/articleshow/57968137.cms
2017-04-02 14:51:00,Can Modi chants cut taxes: CM Arvind Kejriwal,http://timesofindia.indiatimes.com//city/delhi/can-modi-chants-cut-taxes-cm-arvind-kejriwal/articleshow/57967854.cms
2017-04-01 12:01:00,Price of five major essential commodities rise in 2016,http://timesofindia.indiatimes.com//city/visakhapatnam/price-of-five-major-essential-commodities-rise-in-2016/articleshow/57948711.cms
2017-04-01 11:23:00,PM Modi greets Hamid Ansari on birthday,http://timesofindia.indiatimes.com//india/pm-modi-greets-hamid-ansari-on-birthday/articleshow/57957375.cms
2017-04-02 10:27:00,Use technology and opt for innovation: PM Modi at Hackathon,http://timesofindia.indiatimes.com//india/use-technology-and-opt-for-innovation-pm-modi-at-hackathon/articleshow/57968378.cms
2017-04-02 07:20:00,"Jaffer Sharief bats for RSS chief Bhagwat as president, writes to PM Modi",http://timesofindia.indiatimes.com//city/bengaluru/jaffer-sharief-bats-for-rss-chief-bhagwat-as-president-writes-to-pm-modi/articleshow/57969294.cms
2017-04-02 09:33:00,"PM Modi to visit Saurashtra, South Gujarat on April 17",http://timesofindia.indiatimes.com//city/ahmedabad/modi-to-visit-saurashtra-south-gujarat-on-april-17/articleshow/57967866.cms
2017-04-02 10:54:00,PM Narendra Modi to inaugurate Chenani-Nashri tunnel today,http://timesofindia.indiatimes.com//india/pm-narendra-modi-to-inaugurate-chenani-nashri-tunnel-today/articleshow/57969796.cms
2017-04-02 14:56:00,Government will help judiciary reduce pendency of cases: Narendra Modi,http://timesofindia.indiatimes.com//india/government-will-help-judiciary-to-reduce-pendency-of-cases-narendra-modi/articleshow/57973091.cms
2017-04-03 12:34:00,PM Modi inaugurates Chenani-Nashri tunnel in J&K,http://timesofindia.indiatimes.com//india/pm-modi-inaugurates-chenani-nashri-tunnel-in-jk/articleshow/57974526.cms
2017-04-02 13:42:00,Shutdown in Kashmir Valley ahead of Prime Minister Narendra Modi’s visit,http://www.thehindu.com/news/national/other-states/shutdown-in-kashmir-valley-ahead-of-prime-minister-modis-visit/article17762106.ece
2017-04-02 23:31:00,"MPM workers demand modification of VRS, severance package",http://www.thehindu.com/news/national/karnataka/mpm-workers-demand-modification-of-vrs-severance-package/article17763699.ece
2017-04-02 16:08:00,"Swap terrorism for tourism, Modi tells Kashmiri youth",http://www.thehindu.com/news/national/other-states/pm-narendra-modi-inaugurates-indias-longest-road-tunnel-chenaninashri-in-jammu-and-kashmir/article17762274.ece
2017-04-02 23:33:00,Activist alleges irregularities in procurement of commodities in Anna Bhagya scheme,http://www.thehindu.com/news/national/karnataka/activist-alleges-irregularities-in-procurement-of-commodities-in-anna-bhagya-scheme/article17763711.ece
2017-04-02 00:27:00,Militants strike ahead of Modi visit,http://www.thehindu.com/news/national/other-states/militants-strike-ahead-of-modi-visit/article17760435.ece
